Time(s),score
25.756864070892334,0.3378017857085136
65.29570817947388,0.37289505975431664
98.47852802276611,0.37289505975431664
126.4514229297638,0.4035892775568432
160.2805209159851,0.4035892775568432
195.61833691596985,0.4035892775568432
217.11846804618835,0.41501621029209607
248.99227499961853,0.41501621029209607
278.0404100418091,0.41501621029209607
306.87087416648865,0.41501621029209607
339.3855679035187,0.41501621029209607
380.4427080154419,0.41501621029209607
413.7379801273346,0.41501621029209607
446.36833000183105,0.41501621029209607
479.79397106170654,0.41501621029209607
515.2126841545105,0.41501621029209607
536.6021780967712,0.41501621029209607
566.4509971141815,0.41501621029209607
595.1471180915833,0.41501621029209607
612.5177671909332,0.41687043160271475
639.3285710811615,0.41687043160271475
662.9649631977081,0.41687043160271475
685.7975332736969,0.41687043160271475
703.3394119739532,0.42049434967895444
733.6537871360779,0.42049434967895444
761.380362033844,0.42049434967895444
786.9893748760223,0.4229155101023154
810.3767070770264,0.4229155101023154
835.3744282722473,0.4229155101023154
853.2971241474152,0.4229155101023154
872.920538187027,0.4229155101023154
897.9074890613556,0.4229155101023154
913.4697570800781,0.4229155101023154
932.2520859241486,0.42357288931135495
956.4799110889435,0.42357288931135495
986.5602989196777,0.42357288931135495
1009.814197063446,0.42357288931135495
1040.1156249046326,0.42357288931135495
1071.3545038700104,0.42357288931135495
1101.517688035965,0.42357288931135495
1119.3205931186676,0.42357288931135495
1137.623258113861,0.42357288931135495
1154.6063480377197,0.44195445899587626
1179.3558609485626,0.44195445899587626
1210.0646440982819,0.44195445899587626
1234.0824100971222,0.44195445899587626
1253.884211063385,0.44195445899587626
1280.8129799365997,0.44195445899587626
1296.723550081253,0.44195445899587626
1325.6080720424652,0.44195445899587626
1346.6031112670898,0.44195445899587626
1369.4036221504211,0.44195445899587626
1389.2210490703583,0.44195445899587626
1410.854583978653,0.44195445899587626
1437.6804530620575,0.44195445899587626
1460.0344052314758,0.44195445899587626
1493.433818101883,0.44195445899587626
1519.5375039577484,0.44195445899587626
1550.6327018737793,0.44195445899587626
1574.750277042389,0.44195445899587626
